Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
81f2215bfe4a64ecc46b58760fda6d61be75cd74af337bde1e0aeed69bbdec4d,2017-04,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
2670d010d36030a052da9dd752dc9fad2dbf332c517b02b28cbbfe3a18b45cc4,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d6f501cbe2a838935f715a47e7fc67db3a336ad8d553ab39b162b93e05496053,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
64bd184f6637609539e5f87e25416c4cd11de2c57e61382603cbb3d109ebd501,2017-04,City of London Police,City of London Police,-0.085310,51.518511,On or near ELDON STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
9e60157de9a3e03c5e99d23b760994d416de4f974e20ff5665491f5c794915b6,2017-04,City of London Police,City of London Police,-0.100884,51.516966,On or near Hospital,E01032740,City of London 001G,Investigation complete; no suspect identified
59aaa738f355479c4ebf6c025154c6610aae21129343922a6f7ea69b9b3a3e04,2017-04,City of London Police,City of London Police,-0.096814,51.512952,On or near ST PAUL'S CHURCH YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
c63e0f419b839030dd09ee7cb78bc838feac0f6d1991d958c73742d592d8fe24,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ce59a4be307cb2e41fb0b132425961b218f3845b1f5a4bdd38ea67dac88720a7,2017-04,City of London Police,City of London Police,-0.084701,51.509320,On or near LOWER THAMES STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
f7c0872236fc0711e0dadd8fd546859688c71b52b5ed47cfb1074bfeda0520a0,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
91520caa6ee0ab827d93481309e22a2e298e01fcec62036d2d93c926c49175ae,2017-04,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
7c2adeafc6956085892c6f16f083947bfb7fd7ca3b587a7a2f6e37e3ea2f9800,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6a37c9fcc35f335b4e2674317a1e006232dfd518a990e8fe3f42c5193c4b3d9f,2017-04,City of London Police,City of London Police,-0.093398,51.512951,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
b6cdca876bb06cf47b2276c1f969a0038456106f8fa553da6adfa5b789ab967d,2017-04,City of London Police,City of London Police,-0.098500,51.519526,On or near MIDDLE STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
3f8863c3dbbfc2c2c08941ae757debe4680c6eb50d4f0460ddb7f229a77ecabe,2017-04,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
3b3b3c81244b86ae233b87bb48bc15c2dbcaeefeb02cc008f73aefaded75a546,2017-04,City of London Police,City of London Police,-0.073065,51.511180,On or near GOODMAN'S YARD,E01000005,City of London 001E,Investigation complete; no suspect identified
93bf52cf286734b4a7dced1119de6dabee091ace838a31e1bed9aa4b7d543656,2017-04,City of London Police,City of London Police,-0.085173,51.518680,On or near FINSBURY AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
98f6e8d2ea6ba500d490e88e8d46448f344e12b597755ff59f3e8002313836a6,2017-04,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Formal action is not in the public interest
8aea0daa5b1cfa9bb52a32e8cab59d250e072505298f39944f1570aeaacf16d6,2017-04,City of London Police,City of London Police,-0.079613,51.517231,On or near NEW STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
fdd707c9c1683030039d5216bef7665282c16f33609ab418db663e3f996d072a,2017-04,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
cdde48e86ea2dc293f4bcf5958c7b477be73a43f581d5b088780d8e08c72f43d,2017-04,City of London Police,City of London Police,-0.090419,51.514917,On or near GRESHAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
35105053a75930695b5316ed3dff4689f921f88d87c75ca7120443edcb0ea8f0,2017-04,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
8a65a49208baf0a6d6090b5b98362729bbbca099977df297426038cec15f4c7c,2017-04,City of London Police,City of London Police,-0.075722,51.511053,On or near CRESCENT,E01000005,City of London 001E,Investigation complete; no suspect identified
f091ff31343280ffe71478518c3b8e272ee560f732aed3b2a71bb6b5ab9f58a9,2017-04,City of London Police,City of London Police,-0.096561,51.514513,On or near CHEAPSIDE,E01032739,City of London 001F,Formal action is not in the public interest
3f1dea56bcd5f55f94dbdb811203f42d1ea4fb169e4e51a24765f25a5e83bcf4,2017-04,City of London Police,City of London Police,-0.090142,51.514292,On or near Conference/Exhibition Centre,E01032739,City of London 001F,Investigation complete; no suspect identified
f9dbdb14396d82f600857d19a18f8235d722fc23f140fb089948bc5b73371554,2017-04,City of London Police,City of London Police,-0.088621,51.518619,On or near MOORFIELDS,E01000002,City of London 001B,Investigation complete; no suspect identified
db039c5e7d5f9a725d0969408c9c01a8f34855dc4761122342a1ad031504ff8e,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8c61b3eb1500bf1280c64909918c4e7d33a137b9897f7c14cc81b7637a413cab,2017-04,City of London Police,City of London Police,-0.087760,51.517149,On or near LONDON WALL,E01032739,City of London 001F,Unable to prosecute suspect
f243625d55ee1be566a67f6344c48d9d3ecf908f5abd9ca8197d022655042c71,2017-04,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Unable to prosecute suspect
fa5825c53c25ed0b99c1b50a472da4e3003e3936544aa5d3379d01c27145a1bc,2017-04,City of London Police,City of London Police,-0.089698,51.511812,On or near OXFORD COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
35165e662b1cd23080f18565667b3dba231c6ac0b820c7641aa9e7d4cdf4ca6f,2017-04,City of London Police,City of London Police,-0.089040,51.512745,On or near MANSION HOUSE PLACE,E01032739,City of London 001F,Unable to prosecute suspect
8bc794417fbf7c9411cb6cd69b9ea80f93d756cc9f2e46499a29cb8956d18541,2017-04,City of London Police,City of London Police,-0.107147,51.517130,On or near ST ANDREW STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
fe5e48b88cc0bad822e04ca06cfd5526264758540e2a5cb8e02ff31ca4ec3a37,2017-04,City of London Police,City of London Police,-0.080728,51.511611,On or near Supermarket,E01032739,City of London 001F,Investigation complete; no suspect identified
834bba320753f8ec7670612c4568f380b0687e70fd878c562519338957e0436e,2017-04,City of London Police,City of London Police,-0.088473,51.518374,On or near MOOR PLACE,E01032739,City of London 001F,Investigation complete; no suspect identified
fa4ceb0ef7e496d96bb8e62df70b8eefd7d7cbebd8f5282213fedb48a7eec160,2017-04,City of London Police,City of London Police,-0.090203,51.511118,On or near SCOTT'S YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
889cded6483601ca718410d56466f77243cf48590ab1af1d7775c15a4494225c,2017-04,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
08a54c3ae1b66ebb73993e32710028bdd1aea85586931e0da86ccb4d4e778344,2017-04,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
4c63c9e65023f1712c21e8d3276f5f6273219cd9d175e11193b257790f670c0a,2017-04,City of London Police,City of London Police,-0.084566,51.517690,On or near BLOMFIELD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e04939ec79e02c9c54d75b9d57367f383269a9ba853f9cc1ed089f6bfd446ec3,2017-04,City of London Police,City of London Police,-0.088995,51.512088,On or near ST SWITHIN'S LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
41c810b26235127abeb2d6ded927b66e0f5204a11d3177e4fb5b5316f7795d3f,2017-04,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Investigation complete; no suspect identified
c8afe1b6110c4cc7be0bcf8a1fa2c426615f76d563b98aa2802e6669288d15d9,2017-04,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
bdf71f5f3253519923e5352477b052fc37881f10bf8647e394bb2109b9afb96b,2017-04,City of London Police,City of London Police,-0.109155,51.516668,On or near FETTER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
a195d2f319f3772f7e5f6aea3c368fb9fad8aee9cd09ac291d090ae1946aa6b2,2017-04,City of London Police,City of London Police,-0.110592,51.516062,On or near BREAM'S BUILDINGS,E01032740,City of London 001G,Investigation complete; no suspect identified
da5e2c148a58b68007375c7513e7c8f6c126e6406c9c6cf674fa4da435455d06,2017-04,City of London Police,City of London Police,-0.082748,51.512597,On or near LEADENHALL PLACE,E01032739,City of London 001F,Investigation complete; no suspect identified
19892fa4dbc209269036263d7f1695a35a9bc88f6d0c1f65e3863658b55c04cc,2017-04,City of London Police,City of London Police,-0.108283,51.517526,On or near Supermarket,E01032740,City of London 001G,Investigation complete; no suspect identified
08d99c7c8010de58a4585baa02aa11bd7658de42210edd6c72d1ff6becc87674,2017-04,City of London Police,City of London Police,-0.094959,51.522868,On or near GOLDEN LANE,E01002706,Islington 023E,Investigation complete; no suspect identified
cf355778caeacf85d7437c5ec76d515bd15eae3021bc011fb5e56e263335e757,2017-04,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
a472f4172d8e106f1b8654db285cfd90a8a1b6243082840567276c713fd225ae,2017-04,City of London Police,City of London Police,-0.108418,51.513581,On or near LOMBARD LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
f969973327f7fc107b79047df43fce11e90b037892f61d2eb9d1c008ce6f0124,2017-04,City of London Police,City of London Police,-0.097223,51.515225,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Unable to prosecute suspect
be0c4c18578550560ff428b84b52c69a5a821ba80188cd8aa071d4e35742d06b,2017-04,City of London Police,City of London Police,-0.073152,51.512206,On or near MANSELL STREET,E01000005,City of London 001E,Investigation complete; no suspect identified
8d6b3e5034280b2314f80641f9fa55832fe2d95f0fb3612b95f08ea05553db94,2017-04,City of London Police,City of London Police,-0.102502,51.516165,On or near GREEN ARBOUR COURT,E01032740,City of London 001G,Investigation complete; no suspect identified
a42639106794d712ea08c7949dc6e27d5eb518b3b7a61364cde9495514c0122e,2017-04,City of London Police,City of London Police,-0.080665,51.509344,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
b4dc3f824baf8822b1f60854a8c1caf0269b19505bfb968fd48b479b20f48f4e,2017-04,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
62eb45a15167a37692affda1485b6b497d284e63316d8713143b1c988e694ecd,2017-04,City of London Police,City of London Police,-0.079283,51.511021,On or near SEETHING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
df5360cc2f131e899c10093df6c4a6855d11247cc9fe70d022f26a59fb92cb5e,2017-04,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Unable to prosecute suspect
972c2904dc2cb72802aa43f2d01f62a2890e0fdec67009f806af5ac7a0231086,2017-04,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Investigation complete; no suspect identified
4b00cf37a807e4ec9da8c750cdb6d1486582225c385fe9049ac738ac0a9c0de6,2017-04,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fd193080ff8c37ac8c8cf37f6004dc401992580aad2fc873beffc6e832952af8,2017-04,City of London Police,City of London Police,-0.078779,51.508971,On or near GLOUCESTER COURT,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
