Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7a28f4231236989973c430df6b32de826c143fdd1a2ce753653b6cd1b4932b27,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.110623,52.236703,On or near CAMBRIDGE ROAD,E01033120,South Cambridgeshire 006G,Investigation complete; no suspect identified
5d3014bd69ca729cae1ae2d4dde4981a44561555dafcd4a175cd4e896c808a66,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.265033,52.391200,On or near Supermarket,E01018026,East Cambridgeshire 004C,Investigation complete; no suspect identified
9d795ee7ca6b5a203964edd25c58aaa171a9cd273a9d4e0568a80d9d124f8250,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.053774,52.215646,On or near BRACE DEIN,E01033119,South Cambridgeshire 020E,Investigation complete; no suspect identified
8cccc2305de852ab16e5712903439e59b8fc45591cf56b75e36a5a891d13bfd5,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.117420,52.218264,On or near STRETTEN AVENUE,E01017949,Cambridge 002A,Investigation complete; no suspect identified
e97661930647dbb0511b220b177613fd40e368c610ae11a5bff3d68a411afe34,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.116344,52.167911,On or near EXETER CLOSE,E01018003,Cambridge 012B,Investigation complete; no suspect identified
dc1e34aaf44120a1f2ebdfe6797673890e1c354861fe275f4722727188cb8749,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.249614,52.593546,On or near CLARE ROAD,E01015652,Peterborough 012C,Investigation complete; no suspect identified
f7135c759785e6cd7e3825d0fca89ab6c48e400862732f0cf32befb2aa2fada6,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133491,52.193454,On or near VINTER TERRACE,E01032795,Cambridge 012F,Investigation complete; no suspect identified
dec29064eb27296a0bd36e3ec31dbb85d475d5014f359216862c387e17afb159,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.069537,52.365776,On or near FULLARDS CLOSE,E01018196,Huntingdonshire 006A,Investigation complete; no suspect identified
e362bfa271c5a56ec2b43b2529ca284409aeb80738f34b9e68a5853dd49b307c,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.283054,52.544423,On or near KIRKSTALL,E01015643,Peterborough 023A,Investigation complete; no suspect identified
0f4a2301d6b430653521a4ab7d9c77482c8f4e532fc79f9db8a378e8b72b0fc6,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.139241,52.201982,On or near GWYDIR STREET,E01017990,Cambridge 008D,Investigation complete; no suspect identified
710125ba7906383c48d6ed312daf3da91b977764fde0a4de06b2ce2e6cfd3848,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.247797,52.560981,On or near SILVER STREET,E01015624,Peterborough 017C,Investigation complete; no suspect identified
daf368b58412f2e59688cad24a252ec718937726c1e730638fc02526304fa0fb,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133491,52.193454,On or near VINTER TERRACE,E01032795,Cambridge 012F,Investigation complete; no suspect identified
5ef685d871c5f1a354175029dacf7d3b91ea243698620370b59fdfe733da852d,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119762,52.636692,On or near Parking Area,E01033111,Fenland 003H,Investigation complete; no suspect identified
6e4aae1e6070d88966487e767e7d2b5fce02a9c9501b64651fffa7d509891cc2,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.100460,52.545944,On or near MEADOW DRIVE,E01018079,Fenland 007C,Investigation complete; no suspect identified
91a7c4e645a1464b7f82481c0c5201218f00b3ab1f599b4b0a4ee61655e83880,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.094423,52.537465,On or near MONTE LONG CLOSE,E01018088,Fenland 009D,Investigation complete; no suspect identified
3afa7bb33207e56503af382824bbf1f75fc3d0bf5a8bc39c0322531427ac8c1b,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.109224,52.562926,On or near CREEK FEN,E01018084,Fenland 005D,Investigation complete; no suspect identified
34d8258fd33db345d53e6d9901a722750508d6214ea46a09d02e497a135c29f2,2017-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.183661,52.225342,On or near CAMBRIDGE ROAD,E01033118,South Cambridgeshire 021E,Investigation complete; no suspect identified
